Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Zeit_Im_Monat,Jahrzeiten,Ferien,FerienCAU,Feiertag,Umsatz_letzte_1_Tage,Umsatz_letzte_3_Tage,Umsatz_letzte_7_Tage,Umsatz_letzte_30_Tage,Feiertag_in_weniger_als_1_Tagen,Feiertag_in_weniger_als_2_Tagen,Feiertag_in_weniger_als_3_Tagen,Feiertag_vor_weniger_als_1_Tagen,Feiertag_vor_weniger_als_2_Tagen,Feiertag_vor_weniger_als_3_Tagen,Wochentag
2013-07-11,Brot,138.549392636714,Keine Kieler Woche,0,21.375,12,5,Monatsmitte,Sommer,1,0,Kein Feiertag,276.953187796526,264.91999753018,271.972440432969,266.851356278416,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-07-12,Brot,101.447511461298,Keine Kieler Woche,0,20.2875,7,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,265.372326260708,273.115993308868,276.045356555417,266.716899004079,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-07-13,Brot,141.233309883732,Keine Kieler Woche,1,20.125,12,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,338.679253384828,290.453184558963,286.125924493143,271.595702690909,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-07-14,Brot,112.524365708762,Keine Kieler Woche,5,17.6875,15,5,Monatsmitte,Sommer,1,0,Kein Feiertag,332.372276326999,310.245716176989,289.694497554227,276.343872506229,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-07-15,Brot,161.264677322182,Keine Kieler Woche,6,18.7375,12,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,357.310753056217,343.080868603957,297.170404550342,282.211037763474,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-07-16,Brot,116.821358174215,Keine Kieler Woche,1,21.1875,10,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,296.392681171668,328.691903518295,305.34810193961,283.169256912676,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-07-17,Brot,150.572919592838,Keine Kieler Woche,5,22.5125,8,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,275.049799001653,309.584411076513,305.058003870828,282.655367171472,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-07-18,Brot,101.90072129658,Keine Kieler Woche,1,23.25,11,5,Monatsmitte,Sommer,1,0,Kein Feiertag,369.417580921367,309.634480325148,317.117470191243,286.836678677491,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-07-19,Brot,161.63511518654,Keine Kieler Woche,3,22.475,16,5,Monatsmitte,Sommer,1,0,Kein Feiertag,277.950838486269,303.048107937506,319.023305376934,286.331801393899,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-07-20,Brot,134.328076682024,Keine Kieler Woche,0,23.1875,8,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,305.415272086151,313.892919753398,314.709659539125,287.35779444187,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-07-21,Brot,66.2887578161955,Keine Kieler Woche,0,26.375,8,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,357.647206453865,313.671105675428,318.42656102837,290.943988932278,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-07-22,Brot,131.223948997842,Keine Kieler Woche,0,26.1,9,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,319.803146761994,327.62187510067,312.910736573337,292.344918924011,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-07-23,Brot,110.315246796665,Keine Kieler Woche,0,24.95,12,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,306.487754079608,327.979369098489,314.395306118622,292.999679810845,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-07-24,Brot,141.891908195545,Keine Kieler Woche,3,24.075,11,NA,Monatsmitte,Sommer,1,0,Kein Feiertag,302.297232054532,309.529377632045,318.402281567575,293.411075927822,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-07-25,Brot,167.701216640907,Keine Kieler Woche,2,23.0875,9,NA,Monatsende,Sommer,1,0,Kein Feiertag,315.83538122414,308.206789119427,312.205261592365,294.361258355632,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-07-26,Brot,147.272084366206,Keine Kieler Woche,3,27.2625,6,NA,Monatsende,Sommer,1,0,Kein Feiertag,299.768908308504,305.967173862392,315.322128709828,294.581081524448,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-07-27,Brot,161.403357795112,Keine Kieler Woche,1,26.1625,10,NA,Monatsende,Sommer,1,0,Kein Feiertag,320.460632770395,312.02164076768,317.471465950434,295.592001494993,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-07-28,Brot,86.0791432446654,Keine Kieler Woche,4,24.8875,13,61,Monatsende,Sommer,1,0,Kein Feiertag,439.720261896766,347.144910927254,325.94548010538,299.959524537471,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-07-29,Brot,183.564164400591,Keine Kieler Woche,1,22.7875,10,NA,Monatsende,Sommer,1,0,Kein Feiertag,438.950647604824,393.614369373718,340.573732733099,304.047498745334,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-07-30,Brot,132.111640117897,Keine Kieler Woche,5,21.075,13,21,Monatsende,Sommer,1,0,Kein Feiertag,395.262693358016,424.644534286536,352.735786975821,306.653647162839,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-07-31,Brot,144.745431773143,Keine Kieler Woche,5,20.275,16,65,Monatsende,Sommer,1,0,Kein Feiertag,400.211832330107,411.475057764316,366.996979105614,309.252485639708,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-08-01,Brot,157.854023011106,Keine Kieler Woche,6,23.4,7,21,Monatsanfang,Sommer,1,0,Kein Feiertag,390.162345186399,395.212290291508,378.612627563298,313.452854584221,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-08-02,Brot,117.359342094889,Keine Kieler Woche,0,31.4375,7,NA,Monatsanfang,Sommer,1,0,Kein Feiertag,302.550763378683,359.557732843034,379.076270074995,314.03149388189,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-08-03,Brot,186.027178770079,Keine Kieler Woche,4,23.3625,11,63,Monatsanfang,Sommer,1,0,Kein Feiertag,307.414972606711,329.319861476612,376.901993381047,316.918206951214,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-08-04,Brot,104.708216687715,Keine Kieler Woche,3,23.05,8,NA,Monatsanfang,Sommer,0,0,Kein Feiertag,404.418595675388,338.128110553594,373.234572007139,322.776832205473,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-08-05,Brot,146.775309890073,Keine Kieler Woche,0,25.8,10,NA,Monatsanfang,Sommer,0,0,Kein Feiertag,375.835772768432,362.556447016844,365.42650017638,326.910788874216,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-08-06,Brot,131.956277381283,Keine Kieler Woche,5,22.225,13,NA,Monatsanfang,Sommer,0,0,Kein Feiertag,338.3962721396,375.346923626964,358.318197524078,327.89646478882503,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-08-07,Brot,160.593417296116,Keine Kieler Woche,4,19.2125,8,NA,Monatsanfang,Sommer,0,0,Kein Feiertag,297.241779967011,337.069489445401,343.986178523792,327.571366003063,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-08-08,Brot,153.099424561652,Keine Kieler Woche,7,16.975,12,20,Monatsmitte,Sommer,0,0,Kein Feiertag,305.646779278412,312.001991770394,332.915541380341,329.855254747914,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-08-09,Brot,125.620344387906,Keine Kieler Woche,4,20.3375,10,21,Monatsmitte,Sommer,0,0,Kein Feiertag,299.801501427656,300.896686891026,332.511238152249,330.657333464755,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-08-10,Brot,185.177162656408,Keine Kieler Woche,7,19.3625,12,61,Monatsmitte,Sommer,0,0,Kein Feiertag,305.078638196702,303.50897296759,332.167659562541,331.647666225325,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-08-11,Brot,73.2088330039992,Keine Kieler Woche,7,16.3875,9,61,Monatsmitte,Sommer,0,0,Kein Feiertag,332.456094406996,312.445411343785,321.584938787778,334.009770737518,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-08-12,Brot,154.504729536697,Keine Kieler Woche,7,16.45,11,63,Monatsmitte,Sommer,0,0,Kein Feiertag,345.070734938958,327.535155847552,317.060668518738,334.265902838343,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-08-13,Brot,134.064451548102,Keine Kieler Woche,3,16.4,16,95,Monatsmitte,Sommer,0,0,Kein Feiertag,274.382833969655,317.303221105203,308.525480312199,332.238299958716,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-08-14,Brot,156.972510536869,Keine Kieler Woche,4,18.2625,18,61,Monatsmitte,Sommer,0,0,Kein Feiertag,279.913210806031,299.788926571548,306.049970432059,329.53209218773,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-08-15,Brot,164.763795399756,Keine Kieler Woche,3,19.8,8,NA,Monatsmitte,Sommer,0,0,Kein Feiertag,306.60667370379,286.967572826492,306.187098207113,329.889224793748,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-08-16,Brot,147.79799759804,Keine Kieler Woche,4,23.575,11,0,Monatsmitte,Sommer,0,0,Kein Feiertag,289.187321397585,291.902401969135,304.670786774245,330.383543758641,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-08-17,Brot,221.630418006017,Keine Kieler Woche,6,20.55,7,0,Monatsmitte,Sommer,0,0,Kein Feiertag,272.289155735964,289.361050279113,299.98657499414,327.282098697778,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-08-18,Brot,92.489778506026,Keine Kieler Woche,7,18.5875,10,63,Monatsmitte,Sommer,0,0,Kein Feiertag,340.364428188826,300.613635107458,301.116336962973,329.449237229117,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-08-19,Brot,145.87913275728,Keine Kieler Woche,5,18.4875,8,NA,Monatsmitte,Sommer,0,0,Kein Feiertag,334.779542946181,315.811042290324,299.64616667829,330.468829967312,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-08-20,Brot,111.842396126739,Keine Kieler Woche,7,17.775,8,61,Monatsmitte,Sommer,0,0,Kein Feiertag,275.367584578221,316.837185237743,299.786845336657,327.611898652186,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-08-21,Brot,125.336522713024,Keine Kieler Woche,5,20.125,8,NA,Monatsmitte,Sommer,0,0,Kein Feiertag,250.557221890313,286.901449804905,295.593132634411,325.207526260808,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-08-22,Brot,132.916428220302,Keine Kieler Woche,4,21.6625,8,NA,Monatsmitte,Sommer,0,0,Kein Feiertag,251.180387480115,259.03506464955,287.675091745315,323.287131587214,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-08-23,Brot,162.958958703106,Keine Kieler Woche,1,22.0375,14,NA,Monatsmitte,Sommer,0,0,Kein Feiertag,262.89288738629,254.876832252239,283.918744029416,321.918925175123,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-08-24,Brot,201.543109556297,Keine Kieler Woche,0,20.85,16,5,Monatsmitte,Sommer,0,0,Kein Feiertag,279.420420387492,264.497898417966,284.937496122491,320.654516812739,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-08-25,Brot,83.0226725739551,Keine Kieler Woche,0,21.3875,16,5,Monatsende,Sommer,0,0,Kein Feiertag,370.564702554085,304.292670109289,289.251821031814,323.112704112933,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
2013-08-26,Brot,165.829031676714,Keine Kieler Woche,0,20.125,15,5,Monatsende,Sommer,0,0,Kein Feiertag,361.271709317276,337.085610752951,293.036416227685,324.529755381922,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Montag
2013-08-27,Brot,118.473650434102,Keine Kieler Woche,1,21.0875,12,NA,Monatsende,Sommer,0,0,Kein Feiertag,267.095354071291,332.977255314217,291.854669012409,319.371589639766,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Dienstag
2013-08-28,Brot,108.876991442649,Keine Kieler Woche,0,21.3,7,NA,Monatsende,Sommer,0,0,Kein Feiertag,241.391371383455,289.919478257341,290.545261797143,313.424895645644,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Mittwoch
2013-08-29,Brot,178.178023803315,Keine Kieler Woche,3,20.2125,11,NA,Monatsende,Sommer,0,0,Kein Feiertag,237.992029270954,248.826251575233,288.661210624406,308.632273042087,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Donnerstag
2013-08-30,Brot,133.150828452892,Keine Kieler Woche,6,19.7875,8,5,Monatsende,Sommer,0,0,Kein Feiertag,245.394888704882,241.592763119764,286.161496527062,304.020751698586,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Freitag
2013-08-31,Brot,130.821314898435,Keine Kieler Woche,5,18.35,16,21,Monatsende,Sommer,0,0,Kein Feiertag,246.165084384215,243.184000786683,281.41073424088,299.766760352794,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Samstag
2013-09-01,Brot,95.9704314892471,Keine Kieler Woche,7,15.8625,16,61,Monatsanfang,Sommer,0,0,Kein Feiertag,281.565401428685,257.708458172594,268.696548365822,299.062553575948,Kein Feiertag in < 1 Tagen,Kein Feiertag in < 2 Tagen,Kein Feiertag in < 3 Tagen,Kein Feiertag vor < 1 Tagen,Kein Feiertag vor < 2 Tagen,Kein Feiertag vor < 3 Tagen,Sonntag
